Type,Date,Latitude,Longitude
Single_Gunshot,8/29/2015,38.66,-90.26

Multiple_Gunshots,8/29/2015,38.65,-90.26

Multiple_Gunshots,8/29/2015,38.66,-90.23

Multiple_Gunshots,8/28/2015,38.67,-90.28

Multiple_Gunshots,8/28/2015,38.68,-90.28

Single_Gunshot,8/28/2015,38.67,-90.26

Multiple_Gunshots,8/27/2015,38.67,-90.26

Multiple_Gunshots,8/27/2015,38.67,-90.24

Multiple_Gunshots,8/27/2015,38.67,-90.25

Multiple_Gunshots,8/27/2015,38.67,-90.25

Multiple_Gunshots,8/27/2015,38.68,-90.26

Single_Gunshot,8/27/2015,38.67,-90.26

Single_Gunshot,8/27/2015,38.68,-90.24

Multiple_Gunshots,8/27/2015,38.66,-90.26

Single_Gunshot,8/26/2015,38.66,-90.25

Multiple_Gunshots,8/26/2015,38.66,-90.26

Multiple_Gunshots,8/26/2015,38.67,-90.26

Multiple_Gunshots,8/26/2015,38.67,-90.26

Single_Gunshot,8/26/2015,38.68,-90.26

Gunshot_or_firework,8/26/2015,38.67,-90.23

Single_Gunshot,8/26/2015,38.68,-90.27

Single_Gunshot,8/25/2015,38.68,-90.24

Single_Gunshot,8/25/2015,38.68,-90.27

Gunshot_or_firework,8/25/2015,38.67,-90.26

Multiple_Gunshots,8/25/2015,38.66,-90.26

Multiple_Gunshots,8/25/2015,38.67,-90.27

Single_Gunshot,8/25/2015,38.68,-90.28

Single_Gunshot,8/24/2015,38.67,-90.25

Multiple_Gunshots,8/24/2015,38.67,-90.26

Single_Gunshot,8/24/2015,38.66,-90.25

Single_Gunshot,8/24/2015,38.68,-90.27

Multiple_Gunshots,8/24/2015,38.68,-90.27

Multiple_Gunshots,8/23/2015,38.66,-90.26

Multiple_Gunshots,8/23/2015,38.66,-90.27

Single_Gunshot,8/23/2015,38.68,-90.28

Multiple_Gunshots,8/23/2015,38.66,-90.24

Single_Gunshot,8/23/2015,38.68,-90.23

Single_Gunshot,8/23/2015,38.66,-90.23

Multiple_Gunshots,8/23/2015,38.68,-90.28

Single_Gunshot,8/23/2015,38.67,-90.23

Multiple_Gunshots,8/23/2015,38.67,-90.23

Single_Gunshot,8/22/2015,38.68,-90.27

Single_Gunshot,8/22/2015,38.67,-90.22

Multiple_Gunshots,8/22/2015,38.68,-90.28

Multiple_Gunshots,8/22/2015,38.67,-90.22

Single_Gunshot,8/22/2015,38.66,-90.25

Single_Gunshot,8/21/2015,38.68,-90.26

Multiple_Gunshots,8/21/2015,38.66,-90.24

Multiple_Gunshots,8/21/2015,38.66,-90.23

Single_Gunshot,8/21/2015,38.67,-90.23

Single_Gunshot,8/21/2015,38.66,-90.26

Multiple_Gunshots,8/21/2015,38.67,-90.24

Multiple_Gunshots,8/21/2015,38.67,-90.24

Multiple_Gunshots,8/21/2015,38.67,-90.24

Multiple_Gunshots,8/21/2015,38.67,-90.24

Multiple_Gunshots,8/21/2015,38.67,-90.23

Single_Gunshot,8/21/2015,38.68,-90.23

Single_Gunshot,8/20/2015,38.68,-90.23

Single_Gunshot,8/20/2015,38.68,-90.27

Multiple_Gunshots,8/20/2015,38.68,-90.27

Multiple_Gunshots,8/20/2015,38.67,-90.23

Multiple_Gunshots,8/20/2015,38.68,-90.28

Single_Gunshot,8/20/2015,38.66,-90.25

Single_Gunshot,8/19/2015,38.67,-90.24

Multiple_Gunshots,8/19/2015,38.66,-90.26

Single_Gunshot,8/19/2015,38.67,-90.23

Single_Gunshot,8/19/2015,38.66,-90.26

Gunshot_or_firework,8/19/2015,38.68,-90.27

Multiple_Gunshots,8/19/2015,38.68,-90.22

Gunshot_or_firework,8/19/2015,38.67,-90.27

Single_Gunshot,8/18/2015,38.68,-90.27

Multiple_Gunshots,8/18/2015,38.68,-90.28

Single_Gunshot,8/18/2015,38.68,-90.28

Single_Gunshot,8/18/2015,38.66,-90.25

Multiple_Gunshots,8/18/2015,38.67,-90.23

